Animal Name;Animal Type;Skin;Age;
*CRUISE;CAT;BLACK;2;
*BOBA;CAT;BLACK;2;
BRADLY;DOG;BROWN;11;
BRINX;DOG;GRAY;7;
*TROOPER;DOG;BR BRINDLE;5;
BRINX;DOG;GRAY;9;
TOULOUSE;CAT;GRAY;1;
PUMBA;DOG;WHITE;7;
CHEESE;CAT;ORANGE;1;
*SCAMP;DOG;WHITE;0;
*EUGENE;DOG;GRAY;9;
MAX;DOG;BLACK;8;
*LAMBCHOP;DOG;WHITE;18;
*MOJO;DOG;BLACK;7;
KITTEN 4;CAT;WHITE;2;
*BIG MAC;CAT;LILAC PT;0;
*BUTTERSCOTCH;CAT;BRN TABBY;6;
A635387*DUSTY;CAT;BLACK;4;
A636154*ANTOINETTE;CAT;BLACK;6;
A635388*OREO;CAT;BLACK;4;
*RICOTTA;CAT;BLACK;0;
*SCOUT;DOG;BROWN;3;
*SPYRO;DOG;BLACK;3;
CUETE;CAT;ORG TABBY;1;
*MAGNOLIA;CAT;CALICO;6;
LUCERO;DOG;BROWN;17;
MONKEY;DOG;BLACK;7;
*MARILYN MONROE;CAT;WHITE;6;
STONEY;DOG;BLACK;5;
THUMPER;RABBIT;BLACK;5;
*TABBY;CAT;GRAY;8;
COCO;DOG;BROWN;12;
THOMAS;CAT;BRN TABBY;7;
REGGIE;CAT;ORANGE;12;
*AZALEA;DOG;BLACK;7;
SADIE;DOG;BLACK;4;
*BUTTERSCOTCH;DOG;BROWN;1;
BOBBY;CAT;BRN TABBY;9;
*DOMINO;CAT;GRAY;4;
*HOLMES;CAT;BLACK;4;
BLUE;DOG;BLUE;9;
*SNEEZY;CAT;BRN TABBY;1;
*EMERALD;CAT;BRN TABBY;2;
CHILLI;DOG;BROWN;1;
BLUE;DOG;WHITE;9;
BAMBEE;RABBIT;BROWN;6;
ARROW;DOG;BLACK;5;
*CINNAMON;DOG;TAN;4;
APPA;DOG;BLACK;1;
ROCKY;DOG;BLACK;11;
*TUCKER;CAT;BLACK;0;
*LEMONDROP;DOG;TAN;1;
*LILITH;CAT;BLACK;0;
A631438*TISH;CAT;GRAY;4;
*STEVIE;CAT;BLACK;5;
*THEON GRAYJOY;CAT;GRAY;5;
*TILAMOOK;CAT;GRAY TABBY;0;
*THUMBALINA [POLYDACTAL];CAT;BRN TABBY;3;
*BOH;CAT;BLACK;0;
PUMPKIN;CAT;ORANGE;5;
*LINUS;DOG;SEAL;2;
*CRYSTAL GEYSER;CAT;GRAY;0;
*EARL GREY;DOG;BLACK;6;
*SHARTREUSE;DOG;TAN;2;
AUDRY;CAT;WHITE;6;
ANGEL;DOG;TAN;18;
UNO;CAT;BLACK;2;
ROXY;DOG;BLACK;11;
*MR.DUNDOV;CAT;BLACK;9;
A638328;CAT;BLACK;4;
*MIZUKI;CAT;BLACK;5;
MJ;DOG;BLONDE;7;
*TREBLE;DOG;WHITE;3;
ZOLA;DOG;BROWN;8;
*LEBOWSKI;DOG;WHITE;7;
*JERSEY;CAT;GRAY;7;
RALPHY;DOG;BLACK;5;
ITATASAS;DOG;BROWN;7;
*RUPERT;CAT;BRN TABBY;10;
*TRIPPLE BIRD;CAT;ORG TABBY;7;
*COCO;CAT;BRN TABBY;0;
*ONYX;CAT;BLACK;0;
JELLY BEAN;CAT;BLACK;5;
BOULEVARD;DOG;BLUE;12;
*MOMMA ARIA;CAT;BLACK;4;
*SQUIRREL;CAT;BLACK;0;
*GORU;CAT;ORG TABBY;2;
ROCCO;DOG;RED;2;
*HENRIETA;REPTILE;GREEN;6;
RALPH;DOG;FAWN;4;
LEO;DOG;TRICOLOR;3;
SUSIE;CAT;TORTIE;9;
MARGAUX;DOG;TAN;11;
*DESMOND;CAT;GRAY;5;
RAMBO;DOG;TAN;11;
*PAISLEY;DOG;WHITE;6;
RAMBO;DOG;BLACK;4;
CHARCOAL;DOG;BLACK;14;
*ALLISON;CAT;BLACK;7;
CHAPRRO;DOG;WHITE;4;
ROCKLY;DOG;TAN;10;
*JACQUES;DOG;BLACK;9;
DOMINO;DOG;WHITE;5;
*ROSS;CAT;BRN TABBY;0;
*TITUS;CAT;BRN TABBY;8;
*BODE;CAT;BRN TABBY;2;
*REESE;DOG;WHITE;5;
*ICARUS;CAT;GRAY;1;
*GOUDA;CAT;BLACK;2;
*TALLY;CAT;GRAY;0;
*CUPID;CAT;BLACK;5;
*FIG;CAT;FLAME PT;0;
*PRETZEL;CAT;WHITE;6;
*BASIL;CAT;SNOWSHOE;0;
*HONEY;CAT;FLAME PT;0;
*RICOTTA;CAT;SNOWSHOE;0;
*BURRATA;CAT;SNOWSHOE;0;
*SYMPHONY;CAT;GRAY;8;
*JENSEN;CAT;GRAY;1;
*SHEILA;CAT;CALICO TAB;1;
*AUDREY;CAT;BLACK;1;
*THE HAMMER;CAT;GRAY TIGER;10;
*MAXWELL;CAT;BRN TABBY;2;
*SPONGEBOB;CAT;SEAL PT;2;
*PEBBLE;CAT;TORTIE;6;
CLAWS;CAT;GRAY;1;
*SQUASH;CAT;ORG TABBY;2;
*REGGIE;CAT;BRN TABBY;2;
SKAVEN;DOG;TAN;8;
*GARTH;CAT;ORG TABBY;7;
SWEET PEA;CAT;BLACK;3;
PRINCESS;DOG;WHITE;17;
TUX;CAT;BLACK;3;
CHATITO;DOG;BLACK;4;
RAY;CAT;ORG TABBY;3;
*MONICA;DOG;GRAY;4;
*MURKY;CAT;GRAY;1;
*MINX;CAT;GRAY;1;
A633213;CAT;BLACK;13;
BENTLEY;DOG;GRAY;3;
*MIJO;CAT;WHITE;1;
*LEGEND;DOG;GRAY;4;
TOMMY LUCAS;DOG;WHITE;5;
*PICO DE GALLO;CAT;WHITE;0;
MAMACITA;CAT;BLACK;2;
*LALUPE;CAT;CALICO;1;
*CALLIOPE;DOG;WHITE;1;
*CHILACA;CAT;GRAY;1;
*ELOISE;DOG;BLUE;7;
*JALAPENO;CAT;BLACK;1;
*PAT SMEAR;CAT;BRN TABBY;8;
MAX;CAT;SEAL PT;14;
*;CAT;GRAY;2;
ANGEL;DOG;TAN;5;
*PIPER;CAT;BRN TABBY;0;
*SEATTLE;CAT;GRAY TABBY;4;
CHIPPY;CAT;BRN TABBY;4;
*NOELLE;DOG;WHITE;6;
*MERDOCK;CAT;BRN TABBY;4;
NO NAME;DOG;BLACK;9;
SKITTY (*ANGELICA);CAT;GRAY TABBY;4;
*FLIPPER;CAT;GRAY TABBY;0;
*BLITZEN;DOG;TRICOLOR;12;
SOCKS;DOG;BROWN;8;
*PEPPURR;CAT;GRAY;6;
*PARSLEY;CAT;CALICO TAB;6;
CYA;CAT;CALICO;7;
*STUFFY;CAT;BLACK;11;
*BASIL;CAT;CALICO TAB;6;
*CORBIN WOW;DOG;BROWN;5;
*ASHLEY PAWSDALE;DOG;TAN;2;
*LOUIE;DOG;WHITE;10;
*CREAM PUFF;CAT;ORG TABBY;5;
*BANANA;DOG;BLACK;7;
OREO;DOG;WHITE;5;
A633213;CAT;BLACK;13;
*BARBIE;CAT;WHITE;1;
*CHICKLET;CAT;BRN TABBY;3;
*CABBAGE;CAT;BLACK;6;
*BUSTER BROWN;DOG;BROWN;3;
*CHASTITY;CAT;GRAY;6;
MIA;DOG;RED;6;
BOOZY;DOG;TAN;8;
MOLLY;DOG;WHITE;13;
DEEOGEE;DOG;TAN;18;
MOCHI;DOG;BLACK;10;
BELLA;DOG;BR BRINDLE;13;
*MRS. CAKE;CAT;GRAY;7;
*CLARISSA;DOG;BLACK;9;
*ANXIETY;CAT;BRN TABBY;7;
*SPOTS;CAT;WHITE;10;
MINERVA;CAT;BRN TABBY;6;
*BRIDGET;CAT;BRN TABBY;9;
*SRIRACHA;CAT;CALICO;8;
*VERONICA;DOG;WHITE;1;
*PENELOPE;RABBIT;WHITE;6;
MINNI;DOG;BLACK;5;
*CHEESECAKE;DOG;WHITE;1;
*LADY GATA;CAT;GRAY;14;
*GIGI;CAT;BRN TABBY;4;
*FLIP;CAT;BRN TABBY;0;
*XYLOPHONE;CAT;ORANGE;0;
*JULY;CAT;BLACK;5;
*TAZ;DOG;BROWN;2;
LIL ONE;CAT;BLACK;7;
*MIMI;CAT;CRM TABBY;5;
TWILIGHT;CAT;BLACK;5;
MAMA;CAT;BLACK;21;
*AUBREY;DOG;WHITE;0;
BOOGIE;CAT;WHITE;12;
FOXIE;DOG;FAWN;8;
*NEO;CAT;GRAY TABBY;3;
*MISS PIGGY;DOG;BLUE;2;
DUNMORE;DOG;BLACK;4;
ROMEO;DOG;BLACK;13;
*TRUDEAU;CAT;GRAY;4;
TROUBLE;CAT;GRAY;10;
TINY;DOG;BLACK;13;
*VISION;CAT;SEAL PT;4;
OLIVE;CAT;BLACK;6;
*SAMMY;CAT;BRN TABBY;8;
*WILLA;DOG;WHITE;9;
*POPPY;DOG;TAN;0;
*ZORRO;CAT;BLACK;4;
*CHEWY;DOG;TAN;14;
*DOBBY;CAT;BLACK;7;
SMOKEY;DOG;GRAY;8;
*ALBIE;CAT;WHITE;6;
*POPPY;CAT;BRN TABBY;6;
PEE-WEE;DOG;TAN;19;
*RADICCHIO;CAT;BRN TABBY;6;
*LAMBCHOP;CAT;GRAY TABBY;0;
*CARMEN SANDIEGO;CAT;GRAY TABBY;0;
TARA;CAT;BROWN;19;
*LACEY;CAT;BRN TABBY;7;
*GEPETTO;CAT;BLACK;5;
*PIERRE;CAT;GRAY;7;
STELLA;DOG;GRAY;4;
MOCHI;DOG;WHITE;5;
*JAMIE;DOG;BLACK;9;
RUKU;DOG;WHITE;9;
ODEN;CAT;BLUE PT;9;
ODEN;CAT;BLUE PT;9;
*BRUCE WAYNE;DOG;GRAY;5;
JO JO;DOG;BLACK;17;
SHAKES;DOG;WHITE;13;
*MINNIE;DOG;WHITE;8;
MARSHA;DOG;BROWN;6;
*STUBRIK;DOG;BROWN;8;
*DEMIRICOUS;CAT;BLACK;5;
*MARGE;CAT;GRAY;0;
*PATTY;CAT;GRAY;0;
*SELMA;CAT;GRAY;0;
*DOLL;CAT;GRAY TABBY;7;
*NIKOLAYEVICH;CAT;TORTIE;5;
*FONZIE;DOG;BLACK;3;
PRINCESS;DOG;BLACK;9;
*JOEY;DOG;TRICOLOR;1;
*PHOEBE;DOG;SILVER;1;
KIT-KAT;CAT;BLACK;6;
*BINKI;CAT;BLACK;0;
CASPER(MUSHY);DOG;WHITE;7;
*CLYDE;CAT;BLACK;3;
*CALVIN;CAT;BLACK;6;
BOB;DOG;RED;7;
MIDNIGHT;DOG;BLACK;2;
*BUBBLES;CAT;GRAY;0;
TANNER;DOG;FAWN;8;
*TUTTLE;DOG;TAN;11;
MASON;DOG;BROWN;11;
MAX;DOG;BROWN;7;
*JUNIPER;DOG;WHITE;7;
JOLIE;DOG;WHITE;14;
*MELODY;DOG;BLACK;2;
*CRANBERRY;CAT;CALICO;10;
*MOUSE;DOG;WHITE;8;
*SNICKERDOODLE;DOG;BLACK;1;
*PICANTE;CAT;GRAY;0;
ANAKIN MORA;DOG;BLACK;9;
BOWSER;DOG;GRAY;12;
GAMBIE;DOG;WHITE;11;
*TEDDY;DOG;BLACK;9;
ISABELLA;DOG;TAN;14;
PANDY;DOG;WHITE;11;
NALA;CAT;BLACK;10;
CASH;DOG;BROWN;5;
*SRIRACHA;CAT;GRAY TABBY;3;
*FRANK BAILEY BRETT;CAT;BLACK;9;
*MR PICKLES;REPTILE;GREEN;2;
*BREWNY;CAT;BRN TABBY;5;
BABY GIRL;DOG;TAN;2;
*MUSTACHIO;CAT;BLACK;6;
A630004*RICK;CAT;GRAY TABBY;7;
*SEAGER;CAT;WHITE;2;
KING KAI;DOG;GRAY;5;
MIMI;DOG;BLACK;17;
CHUTZPAH;CAT;WHITE;1;
MURPHY;CAT;FLAME PT;2;
*CAPER;DOG;WHITE;14;
*MERLIN;RABBIT;WHITE;6;
TUCKER;DOG;TAN;10;
IRON MAN;DOG;WHITE;11;
*THING 16;CAT;BRN TABBY;4;
*CASHMERE;CAT;BLACK;7;
*PONY BOY;DOG;GOLD;13;
*THING 4;CAT;BRN TABBY;4;
RASCAL;DOG;BLACK;5;
*THING 26;CAT;WHITE;4;
*THING 28;CAT;WHITE;4;
T-BOZ;DOG;BROWN;1;
*KYLO;DOG;BLACK;1;
*SALLY;DOG;TAN;2;
*THING 9;CAT;BRN TABBY;4;
*THING 15;CAT;BRN TABBY;4;
*BUTTERCUP;DOG;WHITE;8;
*THING 25;CAT;BLACK;4;
KAITU;DOG;BLACK;8;
*THING 29;CAT;WHITE;4;
*LOVE;CAT;GRAY TABBY;3;
*THING 6;CAT;BRN TABBY;4;
*THING 27;CAT;WHITE;4;
GINGER;CAT;ORANGE;8;
*MILLIE;CAT;BRN TABBY;4;
*THING 22;CAT;WHITE;4;
*THING 31;CAT;BLACK;4;
*HONEYDEW;CAT;BRN TABBY;7;
*PALM 2;CAT;GRAY;1;
*THING 1;CAT;BLACK;4;
*PALM 3;CAT;GRAY;1;
COOPER;DOG;WHITE;2;
*BILLY;DOG;BLACK;8;
*MOOSE;DOG;BLUE;8;
*IGLOO;DOG;GRAY;4;
*SMOKEY JOE;DOG;BLACK;2;
ASH;CAT;GRAY;7;
M3;DOG;WHITE;7;
*CAVANAUGH;DOG;WHITE;2;
*POTATOE;CAT;BLACK;7;
TAFFY;DOG;WHITE;19;
*ZELDA;DOG;BLACK;1;
JANIE;CAT;BLACK;13;
*SHARPIE;DOG;CHOCOLATE;4;
*SUTHERLAND;DOG;BLACK;2;
STANLEY;DOG;BROWN;5;
*BEAU;DOG;BLUE;11;
*NUGGET;CAT;BLACK;0;
BABY CAT 1;CAT;WHITE;4;
BRYCE;DOG;BROWN;19;
*LITTLE JACK HORNER;CAT;BRN TABBY;4;
AHI;CAT;TORTIE;25;
MANNY;DOG;TAN;6;
*RINGO;RABBIT;WHITE;1;
*PISTACHIO;DOG;BL BRINDLE;7;
ISADORE;CAT;BRN TABBY;13;
MAMAS;DOG;BLUE;9;
*BONNIE;CAT;BLACK;3;
MILO;CAT;BRN TABBY;8;
TOBY;CAT;WHITE;8;
BOO;CAT;CRM TABBY;3;
*NALA;CAT;BRN TABBY;1;
*BENNY;CAT;WHITE;0;
ROZY;DOG;BLACK;19;
MAXINE;DOG;BLACK;12;
BENNY;CAT;GRAY TABBY;6;
*CASEY GUISEPPE;CAT;BLACK;6;
*JULIAN;CAT;SEAL PT;1;
*GEMINI;CAT;WHITE;5;
STAR BUTTERFLY;DOG;GRAY;5;
*LIBRA;CAT;BLACK;5;
KURONEKO;CAT;BLACK;4;
SPIKE;DOG;WHITE;7;
*CLARK;CAT;WHITE;13;
*CLARK;CAT;WHITE;13;
*MIA;DOG;WHITE;1;
REMY;DOG;BROWN;6;
LOLA;DOG;TAN;9;
*HUXLEY;DOG;BROWN;1;
*LADY LUCK;CAT;BLACK;8;
*GRACE;DOG;WHITE;10;
*SQUASH;DOG;BLACK;0;
*;CAT;BLACK;3;
*;CAT;ORANGE;3;
NOVA;DOG;BLACK;2;
KIBO;DOG;WHITE;7;
*PUPPUCCINO;DOG;WHITE;1;
HASH BROWN;GUINEA PIG;TAN;3;
LUCAS;DOG;RED;6;
A635832;CAT;GRAY;5;
A652341*PEBBLES;CAT;SEAL PT;4;
*FRENCH FRY;CAT;CALICO;1;
SPATZ;CAT;BLACK;0;
*GOOSE;DOG;WHITE;1;
GOOSE;CAT;BLACK;3;
*MAUI;CAT;BLACK;3;
KIKKI;DOG;TAN;8;
HAZEL;DOG;TAN;3;
*BING CLAWSBY;CAT;BLACK;2;
SMOKEY;CAT;BRN TABBY;2;
*TIGER;CAT;ORANGE;2;
ANNIKIN;CAT;ORG TABBY;16;
SKITTY (*ANGELICA);CAT;GRAY TABBY;4;
BRIONIE;DOG;BR BRINDLE;8;
DISCO (GOSLING*);CAT;GRAY TABBY;4;
*CATAN;CAT;BLACK;5;
*PETREE;CAT;WHITE;1;
LUNA;DOG;BROWN;4;
DOODLES;DOG;TAN;14;
*MOANA;CAT;BLACK;7;
MR.FRAZZLE-DAZZLE;CAT;BRN TABBY;3;
*JETHRO;DOG;BLACK;2;
*PUDDLES;CAT;BLACK;1;
*BOOGALOO;CAT;TAN;1;
*FIGARO;CAT;BLACK;1;
A638782*ROMEO;CAT;BLACK;7;
*JUJU BEE;CAT;BRN TABBY;6;
*LAVENDER;CAT;CALICO;1;
*MAMMA GARDENIA;CAT;WHITE;2;
*SMORES;CAT;GRAY TABBY;6;
LILY;CAT;TORTIE;8;
*CARP;CAT;BLACK;9;
*MERRY;CAT;CALICO TAB;4;
LINDEN 6 LB;CAT;BLACK;9;
*FANCY PANTS;CAT;BRN TABBY;4;
*SEITAN;CAT;BLACK;8;
DROWZY;DOG;WHITE;14;
*RAMONA;DOG;BLACK;4;
*ELVA;CAT;GRAY;1;
*SMAUG;CAT;BLACK;1;
NO COLLAR;CAT;BLACK;1;
CHUCHA;DOG;GRAY;14;
*JEANETTE;CAT;BRN TABBY;5;
MIA;DOG;BLACK;8;
*ELEANOR;CAT;CALICO TAB;5;
*VIVIAN;CAT;TORTIE;6;
*LIL BOW WOW;CAT;GRAY TABBY;6;
*LIL BOW WOW;CAT;GRAY TABBY;6;
BOB;CAT;ORANGE;11;
*GARLIC;CAT;GRAY TABBY;1;
BOBA;CAT;BRN TABBY;0;
RAMBO;DOG;BLACK;11;
UNKNOWN;CAT;WHITE;2;
ELLIOTT;CAT;GRAY;9;
*KOI;CAT;GRAY TABBY;6;
ROSIE;DOG;WHITE;19;
*MISS DEMEANOR;CAT;TORTIE;8;
*WAFFLE;DOG;WHITE;1;
*GIDGET;DOG;TAN;7;
RUBY MISFIT RICE;DOG;BROWN;9;
BRODY;DOG;WHITE;10;
MAXX;DOG;BROWN;9;
RYDER;DOG;WHITE;3;
*CANNON;CAT;TORTIE DIL;7;
BABY SUNSHINE;DOG;BLACK;1;
*SMITH;CAT;BLACK;1;
*YURI G;DOG;WHITE;1;
THOR;DOG;BROWN;8;
*TILLY;DOG;BLACK;8;
MILLIE;DOG;WHITE;11;
*PRINCESS;DOG;BLACK;12;
ORANGE SHERBERT;CAT;ORANGE;13;
COCO;DOG;CREAM;9;
*SPOONIE;CAT;GRAY TABBY;0;
DA VINCI;DOG;BLACK;12;
BELLA;DOG;WHITE;8;
BELLA;DOG;WHITE;8;
*ZOEY;DOG;BLACK;2;
*MILEY;DOG;BROWN;5;
HENRY;DOG;TAN;15;
MARLEY;DOG;WHITE;7;
*ATHENA;DOG;TAN;2;
*TURNER;CAT;WHITE;2;
WILMA;CAT;GRAY;3;
QUINN;CAT;BRN TABBY;8;
*ANGELISA;DOG;GRAY;4;
*MARCO;CAT;WHITE;0;
OLLIE;DOG;WHITE;0;
*DESTINY KITTY 4;CAT;GRAY;0;
RAJA;CAT;BLACK;2;
*DESTINY KITTY 5;CAT;GRAY;0;
POPO;CAT;BLACK;2;
*WESLEY6;CAT;BLACK;3;
*BLACK BEAUTY;CAT;UNKNOWN;4;
*BERT;CAT;BLACK;5;
WAFFLES;CAT;GRAY;5;
SAM;DOG;BROWN;10;
SHADOW;CAT;SNOWSHOE;5;
*AMELIA;CAT;BLACK;3;
*WIDGIT;CAT;BRN TABBY;0;
*GIDGIT;CAT;GRAY TABBY;1;
SMOKE-A-DOKE;DOG;BLUE;4;
ARI;CAT;BLACK;4;
*WILLY;DOG;WHITE;11;
*SERENA;DOG;BLACK;1;
*MAPLE;CAT;SLVR TABBY;6;
*LILITH;CAT;BLACK;5;
*DARLA;CAT;BLACK;4;
*MISS PEACH;CAT;ORANGE;3;
*STITCH;DOG;BLACK;7;
*TEEABEAN;CAT;BLACK;5;
*TAMMY;CAT;CALICO;2;
HANK;DOG;WHITE;11;
*BAUBLE;CAT;BLACK;0;
LAKER;DOG;GOLD;11;
*CINDYLOO;DOG;TRICOLOR;5;
LUCY;CAT;BRN TABBY;2;
DAISY PIE;CAT;GRAY TABBY;8;
NANO;DOG;BLACK;11;
*CANDYCANE;CAT;SEAL PT;9;
*WHISKEY;DOG;BROWN;3;
DODGER;DOG;GRAY;8;
*DIOR;CAT;GRAY TABBY;0;
*CHEYENNE;DOG;BR BRINDLE;2;
*METZ 7;CAT;ORG TABBY;0;
DOLLY;CAT;TORTIE;8;
PASCAL;CAT;CREAM;0;
PEPPA;GUINEA PIG;WHITE;2;
MILO;CAT;BLACK;1;
*DYNA;CAT;BLACK;4;
*STEVIE LICKS;CAT;ORG TABBY;1;
*PAPRIKA;DOG;BROWN;8;
*ONA;CAT;TORTIE;0;
*OPAL;CAT;TORTIE;0;
VADER;CAT;BLACK;5;
HARLOW;DOG;GRAY;4;
*CHARLOTTE;CAT;BLACK;6;
CLAWE;CAT;BLACK;3;
*FIDDLER CRAB;CAT;GRAY TABBY;0;
SPOT;CAT;BLACK;3;
REGINALD;CAT;WHITE;3;
SQUIRT;CAT;BLACK;3;
*MURPHY;DOG;TAN;6;
*WIZARD;CAT;WHITE;1;
GINGER;DOG;TAN;8;
MILLIE;DOG;SILVER;2;
*ROGUE 1;CAT;GRAY;7;
OREO;DOG;BLACK;7;
*MANGORITA;CAT;GRAY;5;
*FLINT;CAT;GRAY;1;
STUBZ;CAT;BRN TABBY;4;
*;CAT;BRN TABBY;1;
*MAGGIE;DOG;BR BRINDLE;0;
*;CAT;TORTIE;1;
*TID-BIT;DOG;WHITE;2;
*LEIGH BOWDEN;CAT;TORTIE;7;
LOVELY;DOG;GRAY;2;
RANI;CAT;BLACK;10;
DAISY;DOG;BLACK;9;
*TRINA;CAT;BRN TABBY;7;
*DOELGER LAY;CAT;GRAY;8;
*MAE;DOG;TAN;5;
CANELO;DOG;BR BRINDLE;5;
A646937 *TOMATO;CAT;CALICO;4;
*BIDDY;CAT;BRN TABBY;4;
*MARINA;CAT;BLACK;7;
MARMALADE;CAT;ORANGE;11;
BEAR;DOG;WHITE;11;
*CARAMEL;DOG;BROWN;0;
*BENEDICT;CAT;GRAY;0;
*GERALD;DOG;FAWN;8;
*PIRATE BOB;CAT;BLACK;0;
*RUDOLPH;CAT;GRAY;10;
CARDI C;CAT;GRAY;7;
MOCHA;DOG;TAN;16;
ARTEMIS;CAT;WHITE;2;
PUDDIN;CAT;BLACK;6;
*SNOBALL;CAT;WHITE;2;
*JINGLEHEIMER;CAT;GRAY TABBY;1;
*LAURENCE;CAT;BLACK;12;
*MARY BETH;CAT;GRAY;1;
*GIMLI;CAT;GRAY;1;
*DIANA IRIS;DOG;GRAY;6;
*JESSIE;DOG;GRAY;6;
*REYNALDO;CAT;BLACK;8;
*DUSTY;CAT;GRAY;1;
*CHILI;DOG;BROWN;3;
*REMINGTON;DOG;RED;3;
*CRICKET;CAT;CALICO TAB;1;
*DASANI;CAT;BLACK;0;
*LEXINGTON;DOG;BLACK;3;
*SOPHIA;DOG;BLACK;3;
SADIE;CAT;TRICOLOR;4;
*PAWSSANOVA;CAT;BLACK;2;
*CHANCLA;CAT;CALICO;0;
APOLLO;DOG;BLACK;1;
JET;GUINEA PIG;BLACK;4;
*CHUCKLES;CAT;ORG TABBY;5;
KIMBA;DOG;CREAM;9;
BAILEY;DOG;TAN;7;
YOGI BEAR;DOG;WHITE;4;
GAIA;DOG;CHOCOLATE;7;
*NATASHA;DOG;WHITE;1;
*FAMOUS AMOS;DOG;WHITE;7;
*BORIS;DOG;TAN;5;
CHARLIE;DOG;BROWN;12;
*SNEAKY;CAT;BLACK;8;
LULU;DOG;WHITE;15;
GORDITO;DOG;WHITE;2;
BUCKY;DOG;WHITE;5;
DOTTIE;DOG;WHITE;5;
BERNARD;DOG;WHITE;8;
BOO BOO;DOG;TAN;14;
KONA;DOG;BLACK;3;
*HERMINE;DOG;FAWN;0;
*HORCHATA;CAT;BRN TABBY;5;
CANELA;DOG;RED;2;
THUNDER BOLT;DOG;GRAY;2;
SHADOW;DOG;BLACK;10;
LALO;CAT;GRAY;1;
BUDDY;DOG;BLACK;13;
BISCUT;CAT;GRAY;15;
*MIA;DOG;WHITE;1;
*WALLABY;DOG;WHITE;1;
*FERGUS;CAT;BRN TABBY;1;
MABEL;DOG;GOLD;7;
*BLUEBERRY;CAT;BLACK;2;
*JULIET;CAT;BRN TABBY;1;
BRUNO;DOG;BLACK;7;
*JERRY;CAT;ORG TABBY;1;
*LOU;CAT;GRAY TABBY;1;
*OLAF;DOG;SILVER;9;
DARWIN;DOG;TRICOLOR;8;
*WILLOW;RABBIT;WHITE;2;
*CONNIE;CAT;BLACK;8;
EVE;DOG;BROWN;5;
CHIP;CAT;BLK SMOKE;5;
HURU;CAT;BLACK;3;
JORDAN;DOG;BLACK;1;
*YETI;CAT;WHITE;0;
A647280;CAT;GRAY TABBY;4;
ONYX;CAT;GRAY;6;
*BISON;DOG;CHOCOLATE;16;
*HADLEY;CAT;GRAY;2;
*COCO;CAT;GRAY;0;
*WHISPER;CAT;BLACK;2;
*SNICKERS;CAT;WHITE;0;
*LOIS;DOG;BLACK;2;
DAENERYS;CAT;SEAL PT;10;
*LULU;RABBIT;BLACK;4;
*APRIL JULY;CAT;BLACK;6;
AMELIE;DOG;BLACK;11;
*JILL;CAT;GRAY TABBY;3;
ZIGGY;CAT;WHITE;6;
*SAYWUH;CAT;GRAY TABBY;0;
*WALLY;CAT;GRAY TABBY;0;
PRINCESS LEIA;CAT;BRN TABBY;6;
*CLAWREESE;CAT;GRAY TABBY;0;
*KAYLA;CAT;BLACK;0;
*CATFISH;CAT;CALICO DIL;2;
*ANISE;CAT;BLACK;0;
*OLIVER;CAT;SEAL PT;4;
*MAJA;CAT;GRAY;0;
DAPHNE;DOG;BLACK;4;
*SWEET POTATO;CAT;GRAY TABBY;0;
*PEACH;CAT;TORTIE;3;
*PASSIONFRUIT;CAT;CALICO;3;
*NUCKLES;CAT;GRAY TABBY;11;
*PAPAYA;CAT;TORTIE;4;
*APPLE;CAT;CALICO;8;
*TINKER BERRY;CAT;CALICO;8;
*YOSHI;CAT;GRAY;1;
*PLUM;CAT;BLACK;0;
*LEONORA;CAT;TORTIE;6;
A634184*SNOWCAKE;CAT;WHITE;6;
*INDIE;CAT;BLACK;6;
CEASAR;DOG;BROWN;22;
*EVERDEEN;CAT;CRM TABBY;3;
*EDITH;CAT;BRN TABBY;11;
CHIP;CAT;ORANGE;12;
*EDEN;RABBIT;WHITE;6;
OLLIE;CAT;ORANGE;6;
SUGARFOOT;CAT;WHITE;4;
*JEN;CAT;BLACK;0;
*CHEETO;CAT;ORANGE;0;
SIMBA;DOG;WHITE;15;
SPARKY;DOG;TAN;11;
*PRINCE PANTHER;CAT;BLACK;9;
*CHARLOTTE;CAT;GRAY TABBY;2;
*SHERMAN;CAT;BLACK;2;
*;CAT;BLACK;2;
*;CAT;ORANGE;2;
DAISY;DOG;WHITE;15;
*PEETA;RABBIT;TAN;1;
*ARI GATO;CAT;BRN TABBY;4;
LOLA DAWN;CAT;BRN TABBY;11;
MAX;DOG;WHITE;6;
COCO CAINE;DOG;WHITE;8;
*BINKY;CAT;WHITE;6;
*MARMALADE;CAT;ORANGE;4;
*SID;CAT;ORANGE;2;
*MARGE;CAT;BRN TABBY;15;
CHICO;DOG;TAN;7;
SPARKY;DOG;TRICOLOR;14;
*;CAT;CALICO DIL;2;
COCO;DOG;WHITE;4;
POSSUM 2;OTHER;GRAY;1;
*JOHNNIE;DOG;CREAM;11;
TOMMY;CAT;BLACK;3;
*BRANDO;DOG;BLACK;9;
`*RALPH WAILS;CAT;BRN TABBY;11;
*;CAT;GRAY TABBY;3;
*BIDDY;CAT;CHOC PT;12;
MOCHA;RABBIT;BLACK;1;
*SPADE;CAT;GRAY;8;
*TOOTIE;DOG;WHITE;4;
BABY G.;DOG;BLACK;12;
KONG;DOG;BLACK;4;
PRADA;DOG;BLACK;4;
JAY;CAT;GRAY;9;
